play_id,game_id,game_date,ep,wp,down,qtr,ydstogo,yardline_100,fourth_down_converted,fourth_down_failed,yards_gained,play_type,shotgun,no_huddle,qb_dropback,score_differential,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,goal_to_go,posteam_type,season_type,week,posteam_timeouts_remaining,defteam_timeouts_remaining,vegas_wp,vegas_home_wp,no_score_prob,fg_prob,td_prob,opp_fg_prob,opp_td_prob,season,success,shotgun_binary,no_huddle_binary,qb_dropback_binary,is_pass_play,is_rush_play,is_home,is_regular_season
4639,2014_01_NE_MIA,2014-09-07,0.0208361258264631,0.0052471454255282,4.0,4,5,66.0,1.0,0.0,7.0,pass,1,0,1.0,-13.0,128.0,128.0,128.0,0,away,REG,1,0.0,3.0,0.0029753155540674,0.9970246844459324,0.6710212826728821,0.0465027950704097,0.1129849031567573,0.0651275739073753,0.1021590754389762,2014,1,1,0,1,1,0,0,1
4839,2014_01_NE_MIA,2014-09-07,1.208108949882444,0.0039640623144805,4.0,4,1,37.0,1.0,0.0,3.0,run,1,1,0.0,-13.0,47.0,47.0,47.0,0,away,REG,1,0.0,3.0,0.0022512730211019,0.997748726978898,0.6342427134513855,0.19935904443264,0.1172309443354606,0.0312989950180053,0.016740595921874,2014,1,1,1,0,0,1,0,1
4950,2014_01_NE_MIA,2014-09-07,1.6008085121866316,0.0011126036988571,4.0,4,10,34.0,0.0,1.0,0.0,pass,1,0,1.0,-13.0,15.0,15.0,15.0,0,away,REG,1,0.0,2.0,0.00083970429841429,0.9991602957015856,0.4969234764575958,0.4422953128814697,0.0481831468641757,0.0046914494596421,0.0070455446839332,2014,0,1,0,1,1,0,0,1
1305,2014_01_NYG_DET,2014-09-08,4.366305262548849,0.1662208139896392,4.0,2,1,1.0,1.0,0.0,1.0,pass,1,0,1.0,-14.0,779.0,779.0,2579.0,1,away,REG,1,3.0,2.0,0.0995349660515785,0.9004650339484215,0.0123180709779262,0.4015982151031494,0.507063627243042,0.0287792775779962,0.0442778654396534,2014,1,1,0,1,1,0,0,1
3032,2014_01_NYG_DET,2014-09-08,0.8611373081803322,0.016371451318264,4.0,3,1,43.0,1.0,0.0,3.0,run,0,0,0.0,-20.0,21.0,921.0,921.0,0,away,REG,1,3.0,2.0,0.0076737394556403,0.9923262605443596,0.0274719167500734,0.212322250008583,0.3449069559574127,0.1681679338216781,0.2412546873092651,2014,1,0,0,0,0,1,0,1
3707,2014_01_NYG_DET,2014-09-08,0.0722781743388623,0.0008810929721221328,4.0,4,1,56.0,0.0,1.0,0.0,run,0,0,0.0,-21.0,188.0,188.0,188.0,0,away,REG,1,3.0,2.0,0.00036520109279081225,0.9996347989072092,0.4346204698085785,0.1186157017946243,0.165658101439476,0.120116077363491,0.1555031090974807,2014,0,0,0,0,0,1,0,1
4121,2014_01_SD_ARI,2014-09-08,0.0015784290153533,0.3546173572540283,4.0,4,2,60.0,0.0,1.0,0.0,pass,1,0,1.0,-1.0,113.0,113.0,113.0,0,away,REG,1,1.0,2.0,0.3225825130939483,0.6774174869060516,0.6303049325942993,0.0731102675199508,0.1060755625367164,0.088673859834671,0.0994118154048919,2014,0,1,0,1,1,0,0,1
3073,2014_01_SF_DAL,2014-09-07,4.235689214197919,0.0046931710094213,4.0,3,1,2.0,1.0,0.0,2.0,run,1,0,0.0,-25.0,33.0,933.0,933.0,0,home,REG,1,3.0,2.0,0.0031717240344733,0.0031717240344733,0.0080098034814,0.4917421042919159,0.4355458617210388,0.0316614881157875,0.0286036264151334,2014,1,1,0,0,0,1,1,1
2978,2014_01_TEN_KC,2014-09-07,-0.2625085525214672,0.043082021176815,4.0,3,5,60.0,0.0,1.0,4.0,run,0,0,0.0,-17.0,93.0,993.0,993.0,0,home,REG,1,3.0,2.0,0.0512217506766319,0.0512217506766319,0.0404248759150505,0.1642472892999649,0.277840793132782,0.2087884396314621,0.297898381948471,2014,0,0,0,0,0,1,1,1
3468,2014_01_TEN_KC,2014-09-07,0.6720732480753213,0.0116703500971198,4.0,4,7,40.0,1.0,0.0,18.0,pass,1,0,1.0,-20.0,678.0,678.0,678.0,0,home,REG,1,3.0,1.0,0.0137743800878524,0.0137743800878524,0.1096007600426673,0.2313897907733917,0.2712581157684326,0.1729751676321029,0.2027420848608017,2014,1,1,0,1,1,0,1,1
3744,2014_01_WAS_HOU,2014-09-07,0.4267038686666637,0.0097227673977613,4.0,4,10,48.0,0.0,1.0,6.0,pass,1,0,1.0,-11.0,83.0,83.0,83.0,0,away,REG,1,0.0,1.0,0.0055668405257165,0.9944331594742836,0.821025013923645,0.0532055795192718,0.0705874115228653,0.0355305634438991,0.017513420432806,2014,0,1,0,1,1,0,0,1
3930,2014_02_ARI_NYG,2014-09-14,-0.9091774369589984,0.035525619983673,4.0,4,6,81.0,0.0,1.0,0.0,pass,1,0,1.0,-8.0,161.0,161.0,161.0,0,home,REG,2,1.0,3.0,0.0385473407804966,0.0385473407804966,0.4635005891323089,0.0787957534193992,0.1034457311034202,0.1434666961431503,0.205522745847702,2014,0,1,0,1,1,0,1,1
4209,2014_02_ATL_CIN,2014-09-14,0.0220612414414063,0.0012399081606417,4.0,4,3,64.0,1.0,0.0,5.0,pass,1,0,1.0,-14.0,62.0,62.0,62.0,0,away,REG,2,0.0,1.0,0.0005407287972047925,0.9994592712027952,0.8591214418411255,0.0317436829209327,0.0375060252845287,0.039049994200468,0.0310941711068153,2014,1,1,0,1,1,0,0,1
4310,2014_02_ATL_CIN,2014-09-14,-0.09825472952798,0.000614935124758631,4.0,4,25,74.0,0.0,1.0,0.0,pass,1,0,1.0,-14.0,35.0,35.0,35.0,0,away,REG,2,0.0,1.0,0.0001430332777090371,0.999856966722291,0.9185489416122437,0.0147136747837066,0.0094619411975145,0.0446256324648857,0.0102980183437466,2014,0,1,0,1,1,0,0,1
4218,2014_02_CHI_SF,2014-09-14,0.4666275437921285,0.064689353108406,4.0,4,6,41.0,1.0,0.0,9.0,pass,1,0,1.0,-8.0,127.0,127.0,127.0,0,home,REG,2,2.0,2.0,0.0820921808481216,0.0820921808481216,0.557616651058197,0.1366260796785354,0.1211498007178306,0.0983252674341201,0.074142500758171,2014,1,1,0,1,1,0,1,1
4419,2014_02_CHI_SF,2014-09-14,2.2958572288625874,0.0604715533554554,4.0,4,9,17.0,0.0,1.0,0.0,pass,1,0,1.0,-8.0,77.0,77.0,77.0,0,home,REG,2,0.0,2.0,0.0870759934186935,0.0870759934186935,0.3043683171272278,0.5851233601570129,0.0901330783963203,0.0072821648791432,0.0104010058566927,2014,0,1,0,1,1,0,1,1
3514,2014_02_DAL_TEN,2014-09-14,2.886578714940697,0.0314557738602161,4.0,4,6,6.0,0.0,1.0,0.0,pass,1,0,1.0,-16.0,387.0,387.0,387.0,1,home,REG,2,3.0,3.0,0.0326647087931633,0.0326647087931633,0.0384697876870632,0.8690286874771118,0.0606886371970176,0.016097018495202,0.014140186831355,2014,0,1,0,1,1,0,1,1
3984,2014_02_DET_CAR,2014-09-14,0.7240334819070995,0.0006956754950806499,4.0,4,4,41.0,1.0,0.0,8.0,pass,1,1,1.0,-17.0,82.0,82.0,82.0,0,away,REG,2,0.0,1.0,0.0002880064130295068,0.9997119935869704,0.7564906477928162,0.0781980901956558,0.104474201798439,0.039294958114624,0.0183396637439727,2014,1,1,1,1,1,0,0,1
4076,2014_02_DET_CAR,2014-09-14,1.8364721874822865,0.0005053857457824051,4.0,4,7,30.0,0.0,1.0,6.0,pass,1,0,1.0,-17.0,21.0,21.0,21.0,0,away,REG,2,0.0,1.0,0.00022268797329161316,0.9997773120267084,0.4235378801822662,0.498195618391037,0.0597925819456577,0.011716223321855,0.0059338714927434,2014,0,1,0,1,1,0,0,1
